HumanSays:,RobotSays:
HumanSays:,RobotSays:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am a ChatBot.
Who are you?,I am a Python powered ChatBot.
Who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hello World!
Hi,Hello World!
Greetings,Hello World!
Hey,Hello World!
What's up?,Hello World!
Who are you?,I am a Chatbot.
What is your name?,ChatBot.
1 + 1?,2
add one to one, two
what products to you sell?, tsinelas
what products to you sell?, slippers
what products to you sell?, armor sa paa
Do you sell slippers?, yes
how old are you?,21
what are you doing?,Nothing
do you know me?,yes
Paano ko malalaman kung dapat na akong mag-shift ng kurso?,"Ang pag-shift ng kurso ay maaaring isang desisyong kinakailangang pag-isipan nang mabuti. Mahalaga na suriin mo ang iyong interes, kahusayan, at mga layunin sa buhay. Makipag-ugnayan sa academic adviser mo at maghanap ng impormasyon tungkol sa mga iba't ibang kurso na maaaring tugma sa iyong mga pangarap."
How will I know if it's time for me to shift to a different course?,"Shifting courses can be a decision that needs careful consideration. It's important to assess your interests, skills, and life goals. Reach out to your academic adviser and gather information about different courses that may align with your aspirations."
Ano ang mga dapat kong isaalang-alang bago mag-shift ng kurso?,"Dapat isaalang-alang ang iyong interes at passion sa bagong kurso, pati na rin ang mga career prospects at oportunidad na ibinibigay nito. Tingnan mo rin ang mga academic requirements at prerequisites ng bagong kurso upang masiguro na kaya mong sundan ang mga ito. Mahalaga ring isaalang-alang ang oras at gastos na kasama sa pag-shift ng kurso."
What factors should I consider before shifting to a different course?,"You should consider your interest and passion for the new course, as well as the career prospects and opportunities it offers. Also, examine the academic requirements and prerequisites of the new course to ensure that you can meet them. It's important to consider the time and expenses involved in shifting courses as well."
Paano ko sasabihin sa aking magulang na gusto kong mag-shift ng kurso?,"Mahalagang maging tapat sa iyong mga magulang tungkol sa iyong mga pangarap at layunin sa buhay. Magsagawa ng maayos na pag-uusap, ipaliwanag ang mga dahilan at rason kung bakit nais mong mag-shift ng kurso. Maaari ring ibahagi ang mga benepisyo at potensyal na makakamit mo sa bagong kurso. Makinig din sa kanilang mga opinyon at pag-uunawa."
How can I tell my parents that I want to shift to a different course?,"It's important to be honest with your parents about your dreams and life goals. Have a proper conversation, explain the reasons why you want to shift to a different course. You can also share the benefits and potentials you can achieve in the new course. Listen to their opinions and understanding as well."
Paano ang proseso ng pag-shift ng kurso sa eskwelahan?,"Ang mga mag-aaral mula sa iba't ibang kurso ay maaaring lumipat sa anumang programa ng BS sa loob ng unibersidad, sa kondisyon na matugunan ang mga sumusunod na kundisyon: Walang pagkabigo ng higit sa anim (6) na yunit sa panahon ng semestre. Walang pagkabigo sa mga asignaturang may kaugnayan sa kurso/paksa na nakasaad sa patakaran ng panatilihan ng anumang BS sa programang kurikulum. Isang puno at naisumitong form ng paglipat mula sa Tanggapan ng Registrador."
What is the process of shifting courses in school?,Students from other courses can shift to any BS Program within the university provided that the following conditions are met: No Failure of greater that six (6) units during the semester. No failure in the course/major-related subjects stated in the retention policy of any BS in the respective program curriculum. A filled out shifting form from the Office of the Registrar.
